,rank,title,artist,other artists,year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
79,80,Wonderful World,Sam Cooke,None,1960,2g2GkH3vZHk4lWzBjgQ6nY,73,0.691,0.507,11,-10.23,1,0.0343,0.627,0,0.457,0.885,128.518,125.44,4
80,81,Tracy's Theme,Spencer Ross,None,1960,5jKFMN9GPbzXVUdg1Ub4GC,0,0.165,0.251,5,-18.399,1,0.0387,0.958,0.648,0.0961,0.143,172.465,169.894,3
81,82,Lady Luck,Lloyd Price,None,1960,2MWxpIwgwY4wc4tFs6NyhS,31,0.62,0.591,5,-6.663,1,0.0336,0.639,0,0.251,0.769,122.802,138.733,4
82,83,Step by Step,The Crests,None,1960,0aVMQFFqVPpbvoykIABQWO,15,0.841,0.411,0,-10.767,1,0.305,0.347,0,0.137,0.926,105.38,145.293,4
83,84,Happy-Go-Lucky Me,Paul Evans,None,1960,6jZxxO0ZNb8fakRXryav4y,26,0.717,0.545,9,-10.97,1,0.048,0.809,0.0554,0.243,0.962,93.888,117.253,4
84,85,Young Emotions,Ricky Nelson,None,1960,6lDX5Uhl1It298l8hhQpBr,24,0.449,0.221,7,-13.834,0,0.0362,0.548,6.24E-05,0.132,0.392,78.475,153.12,4
85,86,Dreamin',Johnny Burnette,None,1960,3e6DgJHco44VZekE9wz8Wh,44,0.471,0.449,11,-9.845,0,0.0546,0.794,2.25E-05,0.35,0.715,74.673,141.493,4
86,87,Poetry in Motion,Johnny Tillotson,None,1960,2HKafPuzWaKsCzcE3zFOIX,50,0.485,0.706,8,-7.387,1,0.0319,0.392,0,0.0991,0.912,135.255,154.467,4
87,88,O Dio Mio,Annette Funicello,None,1960,6kFmfcqpy1ok5wfls2yCtZ,12,0.389,0.412,5,-8.131,1,0.0304,0.192,3.11E-06,0.0936,0.363,115.882,171.427,4
88,89,You Talk Too Much,Joe Jones,None,1960,6cUIm6LO1lcMfDlBeGa4H4,20,0.756,0.739,2,-4.978,1,0.0377,0.605,4.20E-06,0.0736,0.614,125.643,152.88,4
89,90,Beatnik Fly,Johnny,the Hurricanes,1960,3uHrMzdYjAUbINHGTh7M5S,16,0.541,0.62,5,-15.603,1,0.0332,0.888,0.288,0.12,0.931,88.364,129.667,4
90,91,When Will I Be Loved,The Everly Brothers,None,1960,27TC9sT6A3Tr29O9Ya3xWL,32,0.583,0.478,11,-9.868,1,0.0279,0.0933,0,0.196,0.899,118.019,125.973,4
91,92,Let's Think About Living,Bob Luman,None,1960,2KwHEWuvd2JCWVK0oQyLkf,29,0.613,0.701,2,-11.366,1,0.0755,0.744,0,0.322,0.964,96.795,128.8,4
92,93,Heartaches by the Number,Guy Mitchell,None,1960,1KcSPQqbbbBCFyAVmJySst,52,0.614,0.562,5,-11.999,1,0.0815,0.481,4.60E-06,0.12,0.815,171.677,151.72,4
93,94,My Little Corner of the World,Anita Bryant,None,1960,1NAvZNIUfC79QACBJ7qhK0,18,0.532,0.293,9,-11.052,0,0.0296,0.727,2.92E-06,0.143,0.422,113.421,150.28,4
94,95,Doggin' Around,Jackie Wilson,None,1960,1uXopyJyRjXsjFtlAXhMd4,28,0.568,0.367,5,-9.912,1,0.0256,0.801,1.67E-05,0.059,0.383,94.096,171.84,3
95,96,Little Bitty Girl,Bobby Rydell,None,1960,0ZqhPLdc7yEv6iADB7no3F,27,0.61,0.623,1,-6.212,1,0.039,0.559,0,0.137,0.841,121.207,145.36,4
96,97,Money (That's What I Want),Barrett Strong,None,1960,5ygqNg50ux6hm9YEbkriWS,49,0.646,0.93,5,-3.233,1,0.0374,0.25,0,0.154,0.946,132.366,157.947,4
97,98,Stay,Maurice Williams,the Zodiacs,1960,5R2DZitRTDYtrkCoJiddct,57,0.555,0.404,7,-14.187,0,0.0621,0.842,0,0.218,0.736,120.509,94.907,4
98,99,Lonely Weekends,Charlie Rich,None,1960,7FOHypk9d7fS6k3KTBnLvj,24,0.625,0.865,5,-10.283,1,0.0481,0.688,0.00699,0.16,0.497,90.517,129.382,4
99,100,Sandy,Larry Hall,None,1960,7vF9CfYTUiif1wHSFdrTyN,13,0.633,0.484,0,-8.507,1,0.0269,0.47,0.000141,0.1,0.814,80.543,145.027,4
100,1,Tossin' and Turnin',Bobby Lewis,None,1961,79s3pSe1u6ggQBEwVPm58Z,47,0.569,0.722,0,-8.914,1,0.0393,0.225,0,0.108,0.965,142.736,159.64,4
101,2,I Fall to Pieces,Patsy Cline,None,1961,6zFsz86nAj5gcvzyVqNL3k,64,0.481,0.0568,10,-20.508,1,0.0357,0.917,0,0.12,0.505,111.799,171.333,4
102,3,Michael,The Highwaymen,None,1961,5pgq6Pzyr8iF2Rs7vzC1nd,5,0.48,0.237,0,-18.666,1,0.375,0.86,0.128,0.945,0.469,103.182,289.228,4
103,4,Crying,Roy Orbison,None,1961,6eLL7QTdMWdhhG4i3jHDR9,62,0.35,0.293,2,-9.502,1,0.0258,0.758,8.21E-06,0.104,0.162,96.685,166.467,4
104,5,Runaway,Del Shannon,None,1961,45Szkclj1lt4ubm7RFK68t,62,0.594,0.533,10,-7.993,0,0.0438,0.153,1.49E-05,0.172,0.729,78.552,137.307,4
105,6,My True Story,The Jive Five,None,1961,1paWReMsPIqKGEOxdlHT2D,44,0.254,0.465,3,-7.421,1,0.0325,0.768,0,0.315,0.642,183.362,155.96,3
106,7,Pony Time,Chubby Checker,None,1961,2XPEv2sB6c44DSocT2TwAc,34,0.453,0.609,8,-6.662,1,0.0296,0.00868,3.43E-05,0.0797,0.96,77.36,147.427,4
107,8,Wheels,The String-A-Longs,None,1961,789lq0oHhOa4pHh2y9rjkN,38,0.787,0.623,0,-8.241,1,0.0359,0.689,0.0932,0.144,0.869,128.327,116.36,4
108,9,Raindrops,Dee Clark,None,1961,6CqTD9nWwf8R1yPVkIVdF5,25,0.381,0.719,7,-7.613,1,0.0494,0.452,0,0.689,0.563,114.086,179.665,1
109,10,Wooden Heart,Joe Dowell,None,1961,2ELAMT68a78OGwhCgj9Kai,21,0.844,0.462,1,-9.855,1,0.0525,0.713,0.0234,0.106,0.947,84.913,118.427,4
110,11,Calcutta,Lawrence Welk,None,1961,1iXx0IlX5j33jyumZjBWU4,16,0.482,0.681,0,-9.114,1,0.0263,0.588,0.683,0.405,0.963,81.997,132.173,4
111,12,Take Good Care of My Baby,Bobby Vee,None,1961,1MR7XamWS0XH6vZxeeRdE0,59,0.491,0.431,1,-12.257,1,0.0609,0.698,0,0.124,0.661,82.445,150.867,4
112,13,Running Scared,Roy Orbison,None,1961,6sbj89WozjblBMa5u41orw,47,0.572,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.381,128.255,132.04,3
113,14,Dedicated to the One I Love,The Shirelles,None,1961,36f5xtZ2CXIc1WOirnnD3j,44,0.398,0.325,10,-6.159,1,0.0382,0.812,0,0.169,0.454,80.563,120.307,4
114,15,Last Night,The Mar-Keys,None,1961,7H22uQMwKWl43uagzO4Pnn,38,0.723,0.565,0,-4.175,1,0.0386,0.448,0.866,0.0708,0.859,126.588,159.173,4
115,16,Will You Love Me Tomorrow,The Shirelles,None,1961,0bwy3sGHeYwng2Ioicq6wf,63,0.55,0.382,0,-6.429,1,0.0263,0.312,1.11E-05,0.221,0.464,136.128,160.693,4
116,17,Exodus,Ferrante,Teicher,1961,7MIzIo0Z9S8zmBiXdGwOeS,16,0.417,0.222,2,-15.318,0,0.0344,0.991,0.858,0.181,0.147,91.846,190.359,4
117,18,Where the Boys Are,Connie Francis,None,1961,70UvKFI48DAQ2suS58bu5l,49,0.366,0.408,0,-4.85,1,0.0301,0.81,0,0.328,0.378,108.819,157.587,3
118,19,Hit the Road Jack,Ray Charles,None,1961,5yQFVCQkupKqTJecbXA7qT,56,0.559,0.631,8,-11.184,0,0.229,0.628,0,0.336,0.929,173.172,119.987,4
119,20,Sad Movies (Make Me Cry),Sue Thompson,None,1961,5PYEBQrRHWoMuRr5Ers9vR,40,0.61,0.272,2,-10.071,1,0.0286,0.888,7.11E-06,0.245,0.608,107.116,199.347,4
120,21,Mother-in-Law,Ernie K-Doe,None,1961,39h384i9hij2H9Qtl9XUuu,32,0.81,0.524,7,-9.77,0,0.0339,0.77,1.03E-05,0.161,0.949,130.214,153.093,4
121,22,Bristol Stomp,The Dovells,None,1961,0B1cm1Z7J9v8Wug9idr8T6,39,0.655,0.77,2,-6.338,1,0.0649,0.626,0,0.541,0.9,105.394,138.893,4
122,23,Travelin' Man,Ricky Nelson,None,1961,1sM0yZDxUhPQhkDh2CLd6l,59,0.723,0.44,2,-10.536,1,0.0319,0.667,0,0.128,0.843,123.217,143.2,4
123,24,Shop Around,The Miracles,None,1961,47IRIQxGDe2Sc6F4pe2FMf,52,0.552,0.7,7,-4.533,1,0.0295,0.809,0,0.805,0.901,132.005,170.76,4
124,25,The Boll Weevil Song,Brook Benton,None,1961,5gCkto8RSjGPynLo3GjOk0,22,0.716,0.34,0,-17.01,1,0.0585,0.248,2.89E-06,0.309,0.661,133.337,160,4
125,26,A Hundred Pounds of Clay,Gene McDaniels,None,1961,4s9qKAu0wMyIWVUB7Cuv3j,36,0.684,0.389,0,-10.933,1,0.035,0.604,0,0.369,0.824,129.06,142.027,4
126,27,The Mountain's High,Dick,Dee Dee,1961,0YVlMTY2kaQc2fxu2ezlI6,31,0.686,0.771,1,-8.764,1,0.0594,0.683,0.137,0.333,0.94,118.176,135.707,4
127,28,Don't Worry,Marty Robbins,None,1961,0dPfKBYyPmoSfoLJqeKAs4,48,0.648,0.165,4,-16.446,1,0.0348,0.879,0.000216,0.13,0.435,99.585,194.16,4
128,29,On the Rebound,Floyd Cramer,None,1961,2vdjYcYAmectRUOiR9Blk3,32,0.535,0.683,9,-11.677,1,0.0334,0.371,0.0133,0.205,0.912,150.742,126.107,4
129,30,Portrait of My Love,Steve Lawrence,None,1961,6csU5EvfcRi2NNoOwNVg8A,35,0.31,0.312,0,-9.321,1,0.0269,0.85,4.51E-05,0.325,0.256,90.169,170.692,4
